set F_UNIQ := 11 16 21 26 31;
set F_NODES[11] := 11 12 13 14 15;
set F_NODES[16] := 16 17 18 19 20;
set F_NODES[21] := 21 22 23 24 25;
set F_NODES[26] := 26 27 28 29 30;
set F_NODES[31] := 31 32 33 34 35;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 ; 	# customer set
set F := 11 16 21 26 31 
12 13 14 15  
17 18 19 20  
22 23 24 25 
27 28 29 30 
32 33 34 35 ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=36;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 200;   		# ECV max load
param Q := 77.75; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=155.50;		# BSV battery level

param Ct := 10;    		# travel cost
param Cr := 100;    		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=10.41 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 20
2 20
3 10
4 30
5 30
6 20
7 40
8 10
9 10
10 10
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param e :=
0 0
1 30
2 109
3 727
4 30
5 196
6 647
7 186
8 261
9 737
10 95
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param l :=
0 1236
1 84
2 170
3 782
4 92
5 239
6 726
7 257
8 316
9 802
10 156
11 1236
16 1236
21 1236
26 1236
31 1236
12 1236
13 1236
14 1236
15 1236
17 1236
18 1236
19 1236
20 1236
22 1236
23 1236
24 1236
25 1236
27 1236
28 1236
29 1236
30 1236
32 1236
33 1236
34 1236
35 1236
36 1236;

param s :=
0 0
1 90
2 90
3 90
4 90
5 90
6 90
7 90
8 90
9 90
10 90
11 0
16 0
21 0
26 0
