set F_UNIQ := 11 16 21 26 31;
set F_NODES[11] := 11 12 13 14 15;
set F_NODES[16] := 16 17 18 19 20;
set F_NODES[21] := 21 22 23 24 25;
set F_NODES[26] := 26 27 28 29 30;
set F_NODES[31] := 31 32 33 34 35;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 ; 	# customer set
set F := 11 16 21 26 31 
12 13 14 15 
17 18 19 20 
22 23 24 25 
27 28 29 30 
32 33 34 35 ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=36;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 700;   		# ECV max load
param Q := 77.75; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=155.50;		# BSV battery level

param Ct := 10;    		# travel cost
param Cr := 100;    		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=10.41 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 10
2 10
3 20
4 40
5 40
6 20
7 10
8 40
9 10
10 20
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param e :=
0 0
1 0
2 303
3 1641
4 1934
5 1725
6 2887
7 116
8 2504
9 2791
10 497
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param l :=
0 3390
1 3275
2 463
3 1801
4 2094
5 1885
6 3047
7 276
8 2664
9 2951
10 657
11 3390
16 3390
21 3390
26 3390
31 3390
12 3390
13 3390
14 3390
15 3390
17 3390
18 3390
19 3390
20 3390
22 3390
23 3390
24 3390
25 3390
27 3390
28 3390
29 3390
30 3390
32 3390
33 3390
34 3390
35 3390
36 3390;

param s :=
0 0
1 90
2 90
3 90
4 90
5 90
6 90
7 90
8 90
9 90
10 90
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param d : 0 1 2 3 4 5 6 7 8 9 10 11 16 21 26 31 12 13 14 15 17 18 19 20 22 23 24 25 27 28 29 30 32 33 34 35 36 :=
0 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
1 24.1661 0.0000 44.5982 19.6977 61.5549 34.6554 34.4093 38.3275 47.7074 37.4833 46.0435 24.1661 19.2094 59.4138 40.4475 26.9258 24.1661 24.1661 24.1661 24.1661 19.2094 19.2094 19.2094 19.2094 59.4138 59.4138 59.4138 59.4138 40.4475 40.4475 40.4475 40.4475 26.9258 26.9258 26.9258 26.9258 24.1661
2 20.6155 44.5982 0.0000 50.0899 30.0000 43.8634 14.8661 7.0711 11.1803 18.6011 13.6015 20.6155 57.0789 28.0179 21.0950 34.6699 20.6155 20.6155 20.6155 20.6155 57.0789 57.0789 57.0789 57.0789 28.0179 28.0179 28.0179 28.0179 21.0950 21.0950 21.0950 21.0950 34.6699 34.6699 34.6699 34.6699 20.6155
3 31.0483 19.6977 50.0899 0.0000 56.8243 53.6004 36.0555 45.7056 48.6621 35.9026 56.3205 31.0483 9.2195 55.0091 53.6656 44.5533 31.0483 31.0483 31.0483 31.0483 9.2195 9.2195 9.2195 9.2195 55.0091 55.0091 55.0091 55.0091 53.6656 53.6656 53.6656 53.6656 44.5533 44.5533 44.5533 44.5533 31.0483
4 40.3113 61.5549 30.0000 56.8243 0.0000 72.2772 28.6531 35.3553 19.1050 24.2074 43.1856 40.3113 65.8635 2.2361 51.0392 61.9839 40.3113 40.3113 40.3113 40.3113 65.8635 65.8635 65.8635 65.8635 2.2361 2.2361 2.2361 2.2361 51.0392 51.0392 51.0392 51.0392 61.9839 61.9839 61.9839 61.9839 40.3113
5 35.0571 34.6554 43.8634 53.6004 72.2772 0.0000 45.1774 37.3363 53.4509 51.0882 34.8281 35.0571 53.7587 70.0928 24.8395 11.0454 35.0571 35.0571 35.0571 35.0571 53.7587 53.7587 53.7587 53.7587 70.0928 70.0928 70.0928 70.0928 24.8395 24.8395 24.8395 24.8395 11.0454 11.0454 11.0454 11.0454 35.0571
6 11.6619 34.4093 14.8661 36.0555 28.6531 45.1774 0.0000 13.4536 13.4164 6.0828 25.4558 11.6619 43.7379 26.4197 28.6356 34.3657 11.6619 11.6619 11.6619 11.6619 43.7379 43.7379 43.7379 43.7379 26.4197 26.4197 26.4197 26.4197 28.6356 28.6356 28.6356 28.6356 34.3657 34.3657 34.3657 34.3657 11.6619
7 15.0000 38.3275 7.0711 45.7056 35.3553 37.3363 13.4536 0.0000 16.2788 18.8680 12.0416 15.0000 52.0384 33.2415 16.2788 27.7849 15.0000 15.0000 15.0000 15.0000 52.0384 52.0384 52.0384 52.0384 33.2415 33.2415 33.2415 33.2415 16.2788 16.2788 16.2788 16.2788 27.7849 27.7849 27.7849 27.7849 15.0000
8 24.0832 47.7074 11.1803 48.6621 19.1050 53.4509 13.4164 16.2788 0.0000 13.0000 24.7386 24.0832 56.7539 17.0294 32.0000 43.4626 24.0832 24.0832 24.0832 24.0832 56.7539 56.7539 56.7539 56.7539 17.0294 17.0294 17.0294 17.0294 32.0000 32.0000 32.0000 32.0000 43.4626 43.4626 43.4626 43.4626 24.0832
9 16.7631 37.4833 18.6011 35.9026 24.2074 51.0882 6.0828 18.8680 13.0000 0.0000 30.6105 16.7631 44.2719 22.0227 34.5398 40.1995 16.7631 16.7631 16.7631 16.7631 44.2719 44.2719 44.2719 44.2719 22.0227 22.0227 22.0227 22.0227 34.5398 34.5398 34.5398 34.5398 40.1995 40.1995 40.1995 40.1995 16.7631
10 25.2982 46.0435 13.6015 56.3205 43.1856 34.8281 25.4558 12.0416 24.7386 30.6105 0.0000 25.2982 61.8142 41.3038 10.0000 28.0179 25.2982 25.2982 25.2982 25.2982 61.8142 61.8142 61.8142 61.8142 41.3038 41.3038 41.3038 41.3038 10.0000 10.0000 10.0000 10.0000 28.0179 28.0179 28.0179 28.0179 25.2982
11 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
16 37.0540 19.2094 57.0789 9.2195 65.8635 53.7587 43.7379 52.0384 56.7539 44.2719 61.8142 37.0540 0.0000 64.0078 57.8705 46.0435 37.0540 37.0540 37.0540 37.0540 0.0000 0.0000 0.0000 0.0000 64.0078 64.0078 64.0078 64.0078 57.8705 57.8705 57.8705 57.8705 46.0435 46.0435 46.0435 46.0435 37.0540
21 38.0789 59.4138 28.0179 55.0091 2.2361 70.0928 26.4197 33.2415 17.0294 22.0227 41.3038 38.0789 64.0078 0.0000 49.0102 59.7746 38.0789 38.0789 38.0789 38.0789 64.0078 64.0078 64.0078 64.0078 0.0000 0.0000 0.0000 0.0000 49.0102 49.0102 49.0102 49.0102 59.7746 59.7746 59.7746 59.7746 38.0789
26 24.0832 40.4475 21.0950 53.6656 51.0392 24.8395 28.6356 16.2788 32.0000 34.5398 10.0000 24.0832 57.8705 49.0102 0.0000 18.7883 24.0832 24.0832 24.0832 24.0832 57.8705 57.8705 57.8705 57.8705 49.0102 49.0102 49.0102 49.0102 0.0000 0.0000 0.0000 0.0000 18.7883 18.7883 18.7883 18.7883 24.0832
31 24.0208 26.9258 34.6699 44.5533 61.9839 11.0454 34.3657 27.7849 43.4626 40.1995 28.0179 24.0208 46.0435 59.7746 18.7883 0.0000 24.0208 24.0208 24.0208 24.0208 46.0435 46.0435 46.0435 46.0435 59.7746 59.7746 59.7746 59.7746 18.7883 18.7883 18.7883 18.7883 0.0000 0.0000 0.0000 0.0000 24.0208
12 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
13 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
14 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
15 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
17 37.0540 19.2094 57.0789 9.2195 65.8635 53.7587 43.7379 52.0384 56.7539 44.2719 61.8142 37.0540 0.0000 64.0078 57.8705 46.0435 37.0540 37.0540 37.0540 37.0540 0.0000 0.0000 0.0000 0.0000 64.0078 64.0078 64.0078 64.0078 57.8705 57.8705 57.8705 57.8705 46.0435 46.0435 46.0435 46.0435 37.0540
18 37.0540 19.2094 57.0789 9.2195 65.8635 53.7587 43.7379 52.0384 56.7539 44.2719 61.8142 37.0540 0.0000 64.0078 57.8705 46.0435 37.0540 37.0540 37.0540 37.0540 0.0000 0.0000 0.0000 0.0000 64.0078 64.0078 64.0078 64.0078 57.8705 57.8705 57.8705 57.8705 46.0435 46.0435 46.0435 46.0435 37.0540
19 37.0540 19.2094 57.0789 9.2195 65.8635 53.7587 43.7379 52.0384 56.7539 44.2719 61.8142 37.0540 0.0000 64.0078 57.8705 46.0435 37.0540 37.0540 37.0540 37.0540 0.0000 0.0000 0.0000 0.0000 64.0078 64.0078 64.0078 64.0078 57.8705 57.8705 57.8705 57.8705 46.0435 46.0435 46.0435 46.0435 37.0540
20 37.0540 19.2094 57.0789 9.2195 65.8635 53.7587 43.7379 52.0384 56.7539 44.2719 61.8142 37.0540 0.0000 64.0078 57.8705 46.0435 37.0540 37.0540 37.0540 37.0540 0.0000 0.0000 0.0000 0.0000 64.0078 64.0078 64.0078 64.0078 57.8705 57.8705 57.8705 57.8705 46.0435 46.0435 46.0435 46.0435 37.0540
22 38.0789 59.4138 28.0179 55.0091 2.2361 70.0928 26.4197 33.2415 17.0294 22.0227 41.3038 38.0789 64.0078 0.0000 49.0102 59.7746 38.0789 38.0789 38.0789 38.0789 64.0078 64.0078 64.0078 64.0078 0.0000 0.0000 0.0000 0.0000 49.0102 49.0102 49.0102 49.0102 59.7746 59.7746 59.7746 59.7746 38.0789
23 38.0789 59.4138 28.0179 55.0091 2.2361 70.0928 26.4197 33.2415 17.0294 22.0227 41.3038 38.0789 64.0078 0.0000 49.0102 59.7746 38.0789 38.0789 38.0789 38.0789 64.0078 64.0078 64.0078 64.0078 0.0000 0.0000 0.0000 0.0000 49.0102 49.0102 49.0102 49.0102 59.7746 59.7746 59.7746 59.7746 38.0789
24 38.0789 59.4138 28.0179 55.0091 2.2361 70.0928 26.4197 33.2415 17.0294 22.0227 41.3038 38.0789 64.0078 0.0000 49.0102 59.7746 38.0789 38.0789 38.0789 38.0789 64.0078 64.0078 64.0078 64.0078 0.0000 0.0000 0.0000 0.0000 49.0102 49.0102 49.0102 49.0102 59.7746 59.7746 59.7746 59.7746 38.0789
25 38.0789 59.4138 28.0179 55.0091 2.2361 70.0928 26.4197 33.2415 17.0294 22.0227 41.3038 38.0789 64.0078 0.0000 49.0102 59.7746 38.0789 38.0789 38.0789 38.0789 64.0078 64.0078 64.0078 64.0078 0.0000 0.0000 0.0000 0.0000 49.0102 49.0102 49.0102 49.0102 59.7746 59.7746 59.7746 59.7746 38.0789
27 24.0832 40.4475 21.0950 53.6656 51.0392 24.8395 28.6356 16.2788 32.0000 34.5398 10.0000 24.0832 57.8705 49.0102 0.0000 18.7883 24.0832 24.0832 24.0832 24.0832 57.8705 57.8705 57.8705 57.8705 49.0102 49.0102 49.0102 49.0102 0.0000 0.0000 0.0000 0.0000 18.7883 18.7883 18.7883 18.7883 24.0832
28 24.0832 40.4475 21.0950 53.6656 51.0392 24.8395 28.6356 16.2788 32.0000 34.5398 10.0000 24.0832 57.8705 49.0102 0.0000 18.7883 24.0832 24.0832 24.0832 24.0832 57.8705 57.8705 57.8705 57.8705 49.0102 49.0102 49.0102 49.0102 0.0000 0.0000 0.0000 0.0000 18.7883 18.7883 18.7883 18.7883 24.0832
29 24.0832 40.4475 21.0950 53.6656 51.0392 24.8395 28.6356 16.2788 32.0000 34.5398 10.0000 24.0832 57.8705 49.0102 0.0000 18.7883 24.0832 24.0832 24.0832 24.0832 57.8705 57.8705 57.8705 57.8705 49.0102 49.0102 49.0102 49.0102 0.0000 0.0000 0.0000 0.0000 18.7883 18.7883 18.7883 18.7883 24.0832
30 24.0832 40.4475 21.0950 53.6656 51.0392 24.8395 28.6356 16.2788 32.0000 34.5398 10.0000 24.0832 57.8705 49.0102 0.0000 18.7883 24.0832 24.0832 24.0832 24.0832 57.8705 57.8705 57.8705 57.8705 49.0102 49.0102 49.0102 49.0102 0.0000 0.0000 0.0000 0.0000 18.7883 18.7883 18.7883 18.7883 24.0832
32 24.0208 26.9258 34.6699 44.5533 61.9839 11.0454 34.3657 27.7849 43.4626 40.1995 28.0179 24.0208 46.0435 59.7746 18.7883 0.0000 24.0208 24.0208 24.0208 24.0208 46.0435 46.0435 46.0435 46.0435 59.7746 59.7746 59.7746 59.7746 18.7883 18.7883 18.7883 18.7883 0.0000 0.0000 0.0000 0.0000 24.0208
33 24.0208 26.9258 34.6699 44.5533 61.9839 11.0454 34.3657 27.7849 43.4626 40.1995 28.0179 24.0208 46.0435 59.7746 18.7883 0.0000 24.0208 24.0208 24.0208 24.0208 46.0435 46.0435 46.0435 46.0435 59.7746 59.7746 59.7746 59.7746 18.7883 18.7883 18.7883 18.7883 0.0000 0.0000 0.0000 0.0000 24.0208
34 24.0208 26.9258 34.6699 44.5533 61.9839 11.0454 34.3657 27.7849 43.4626 40.1995 28.0179 24.0208 46.0435 59.7746 18.7883 0.0000 24.0208 24.0208 24.0208 24.0208 46.0435 46.0435 46.0435 46.0435 59.7746 59.7746 59.7746 59.7746 18.7883 18.7883 18.7883 18.7883 0.0000 0.0000 0.0000 0.0000 24.0208
35 24.0208 26.9258 34.6699 44.5533 61.9839 11.0454 34.3657 27.7849 43.4626 40.1995 28.0179 24.0208 46.0435 59.7746 18.7883 0.0000 24.0208 24.0208 24.0208 24.0208 46.0435 46.0435 46.0435 46.0435 59.7746 59.7746 59.7746 59.7746 18.7883 18.7883 18.7883 18.7883 0.0000 0.0000 0.0000 0.0000 24.0208
36 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
;

param t : 0 1 2 3 4 5 6 7 8 9 10 11 16 21 26 31 12 13 14 15 17 18 19 20 22 23 24 25 27 28 29 30 32 33 34 35 36 :=
0 0.0000 24.1661 20.6155 31.0483 40.3113 35.0571 11.6619 15.0000 24.0832 16.7631 25.2982 0.0000 37.0540 38.0789 24.0832 24.0208 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 38.0789 38.0789 38.0789 38.0789 24.0832 24.0832 24.0832 24.0832 24.0208 24.0208 24.0208 24.0208 0.0000
