set F_UNIQ := 11 16 21;
set F_NODES[11] := 11 12 13 14 15;
set F_NODES[16] := 16 17 18 19 20;
set F_NODES[21] := 21 22 23 24 25;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 ; 	# customer set
set F := 11 16 21
12 13 14 15 
17 18 19 20 
22 23 24 25 ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=26;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 200;   		# ECV max load
param Q := 60.63; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=121.26;		# BSV battery level

param Ct := 10;    		# travel cost
param Cr := 100;    		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=1.47 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 1
2 7
3 14
4 12
5 16
6 26
7 11
8 16
9 17
10 19
11 0
16 0
21 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
26 0;

param e :=
0 0
1 0
2 101
3 95
4 0
5 37
6 0
7 0
8 32
9 0
10 0
11 0
16 0
21 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
26 0;

param l :=
0 230
1 194
2 111
3 105
4 204
5 47
6 192
7 198
8 42
9 208
10 190
11 230
16 230
21 230
12 230
13 230
14 230
15 230
17 230
18 230
19 230
20 230
22 230
23 230
24 230
25 230
26 230;

param s :=
0 0
1 10
2 10
3 10
4 10
5 10
6 10
7 10
8 10
9 10
10 10
11 0
16 0
21 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
26 0;

param d : 0 1 2 3 4 5 6 7 8 9 10 11 16 21 12 13 14 15 17 18 19 20 22 23 24 25 26 :=
0 0.0000 25.6125 24.3311 4.4721 15.8114 5.0000 27.5862 21.0950 29.1548 11.1803 29.1548 0.0000 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
1 25.6125 0.0000 12.6491 25.0599 21.5870 29.0000 53.1507 18.0278 21.0238 31.9531 5.0990 25.6125 23.0000 6.7082 25.6125 25.6125 25.6125 25.6125 23.0000 23.0000 23.0000 23.0000 6.7082 6.7082 6.7082 6.7082 25.6125
2 24.3311 12.6491 0.0000 26.0000 12.7279 25.6320 49.6488 6.7082 8.6023 34.0147 11.0454 24.3311 11.7047 13.4536 24.3311 24.3311 24.3311 24.3311 11.7047 11.7047 11.7047 11.7047 13.4536 13.4536 13.4536 13.4536 24.3311
3 4.4721 25.0599 26.0000 0.0000 19.2354 9.2195 29.2062 23.7697 31.7805 8.0623 29.1548 4.4721 24.5967 18.3576 4.4721 4.4721 4.4721 4.4721 24.5967 24.5967 24.5967 24.5967 18.3576 18.3576 18.3576 18.3576 4.4721
4 15.8114 21.5870 12.7279 19.2354 0.0000 15.0000 37.6962 6.7082 14.1421 26.9258 22.3607 15.8114 5.3852 18.0278 15.8114 15.8114 15.8114 15.8114 5.3852 5.3852 5.3852 5.3852 18.0278 18.0278 18.0278 18.0278 15.8114
5 5.0000 29.0000 25.6320 9.2195 15.0000 0.0000 24.4131 21.2132 29.0689 14.1421 32.0156 5.0000 20.0998 22.8035 5.0000 5.0000 5.0000 5.0000 20.0998 20.0998 20.0998 20.0998 22.8035 22.8035 22.8035 22.8035 5.0000
6 27.5862 53.1507 49.6488 29.2062 37.6962 24.4131 0.0000 44.3847 51.5461 26.0000 56.4004 27.5862 41.7612 46.6905 27.5862 27.5862 27.5862 27.5862 41.7612 41.7612 41.7612 41.7612 46.6905 46.6905 46.6905 46.6905 27.5862
7 21.0950 18.0278 6.7082 23.7697 6.7082 21.2132 44.3847 0.0000 8.0623 31.7805 17.4642 21.0950 5.0990 16.5529 21.0950 21.0950 21.0950 21.0950 5.0990 5.0990 5.0990 5.0990 16.5529 16.5529 16.5529 16.5529 21.0950
8 29.1548 21.0238 8.6023 31.7805 14.1421 29.0689 51.5461 8.0623 0.0000 39.8121 18.4391 29.1548 9.8489 21.9317 29.1548 29.1548 29.1548 29.1548 9.8489 9.8489 9.8489 9.8489 21.9317 21.9317 21.9317 21.9317 29.1548
9 11.1803 31.9531 34.0147 8.0623 26.9258 14.1421 26.0000 31.7805 39.8121 0.0000 36.4005 11.1803 32.3110 25.2982 11.1803 11.1803 11.1803 11.1803 32.3110 32.3110 32.3110 32.3110 25.2982 25.2982 25.2982 25.2982 11.1803
10 29.1548 5.0990 11.0454 29.1548 22.3607 32.0156 56.4004 17.4642 18.4391 36.4005 0.0000 29.1548 22.5610 11.1803 29.1548 29.1548 29.1548 29.1548 22.5610 22.5610 22.5610 22.5610 11.1803 11.1803 11.1803 11.1803 29.1548
11 0.0000 25.6125 24.3311 4.4721 15.8114 5.0000 27.5862 21.0950 29.1548 11.1803 29.1548 0.0000 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
16 21.1896 23.0000 11.7047 24.5967 5.3852 20.0998 41.7612 5.0990 9.8489 32.3110 22.5610 21.1896 0.0000 20.8806 21.1896 21.1896 21.1896 21.1896 0.0000 0.0000 0.0000 0.0000 20.8806 20.8806 20.8806 20.8806 21.1896
21 19.1050 6.7082 13.4536 18.3576 18.0278 22.8035 46.6905 16.5529 21.9317 25.2982 11.1803 19.1050 20.8806 0.0000 19.1050 19.1050 19.1050 19.1050 20.8806 20.8806 20.8806 20.8806 0.0000 0.0000 0.0000 0.0000 19.1050
12 0.0000 25.6125 24.3311 4.4721 15.8114 5.0000 27.5862 21.0950 29.1548 11.1803 29.1548 0.0000 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
13 0.0000 25.6125 24.3311 4.4721 15.8114 5.0000 27.5862 21.0950 29.1548 11.1803 29.1548 0.0000 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
14 0.0000 25.6125 24.3311 4.4721 15.8114 5.0000 27.5862 21.0950 29.1548 11.1803 29.1548 0.0000 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
15 0.0000 25.6125 24.3311 4.4721 15.8114 5.0000 27.5862 21.0950 29.1548 11.1803 29.1548 0.0000 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
17 21.1896 23.0000 11.7047 24.5967 5.3852 20.0998 41.7612 5.0990 9.8489 32.3110 22.5610 21.1896 0.0000 20.8806 21.1896 21.1896 21.1896 21.1896 0.0000 0.0000 0.0000 0.0000 20.8806 20.8806 20.8806 20.8806 21.1896
18 21.1896 23.0000 11.7047 24.5967 5.3852 20.0998 41.7612 5.0990 9.8489 32.3110 22.5610 21.1896 0.0000 20.8806 21.1896 21.1896 21.1896 21.1896 0.0000 0.0000 0.0000 0.0000 20.8806 20.8806 20.8806 20.8806 21.1896
19 21.1896 23.0000 11.7047 24.5967 5.3852 20.0998 41.7612 5.0990 9.8489 32.3110 22.5610 21.1896 0.0000 20.8806 21.1896 21.1896 21.1896 21.1896 0.0000 0.0000 0.0000 0.0000 20.8806 20.8806 20.8806 20.8806 21.1896
20 21.1896 23.0000 11.7047 24.5967 5.3852 20.0998 41.7612 5.0990 9.8489 32.3110 22.5610 21.1896 0.0000 20.8806 21.1896 21.1896 21.1896 21.1896 0.0000 0.0000 0.0000 0.0000 20.8806 20.8806 20.8806 20.8806 21.1896
22 19.1050 6.7082 13.4536 18.3576 18.0278 22.8035 46.6905 16.5529 21.9317 25.2982 11.1803 19.1050 20.8806 0.0000 19.1050 19.1050 19.1050 19.1050 20.8806 20.8806 20.8806 20.8806 0.0000 0.0000 0.0000 0.0000 19.1050
23 19.1050 6.7082 13.4536 18.3576 18.0278 22.8035 46.6905 16.5529 21.9317 25.2982 11.1803 19.1050 20.8806 0.0000 19.1050 19.1050 19.1050 19.1050 20.8806 20.8806 20.8806 20.8806 0.0000 0.0000 0.0000 0.0000 19.1050
