set F_UNIQ := 11 16 21 26 31;
set F_NODES[11] := 11 12 13 14 15;
set F_NODES[16] := 16 17 18 19 20;
set F_NODES[21] := 21 22 23 24 25;
set F_NODES[26] := 26 27 28 29 30;
set F_NODES[31] := 31 32 33 34 35;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 ; 	# customer set
set F := 11 16 21 26 31
12 13 14 15 
17 18 19 20 
22 23 24 25 
27 28 29 30 
32 33 34 35  ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=36;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 1000;   		# ECV max load
param Q := 60.63; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=121.26;		# BSV battery level

param Ct := 10;    		# travel cost
param Cr := 100;    		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=1.47 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 7
2 12
3 7
4 3
5 6
6 26
7 13
8 18
9 15
10 2
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param e :=
0 0
1 436
2 206
3 0
4 384
5 162
6 0
7 0
8 0
9 0
10 733
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param l :=
0 1000
1 511
2 325
3 966
4 499
5 293
6 969
7 964
8 962
9 950
10 870
11 1000
16 1000
21 1000
26 1000
31 1000
12 1000
13 1000
14 1000
15 1000
17 1000
18 1000
19 1000
20 1000
22 1000
23 1000
24 1000
25 1000
27 1000
28 1000
29 1000
30 1000
32 1000
33 1000
34 1000
35 1000
36 1000;

param s :=
0 0
1 10
2 10
3 10
4 10
5 10
6 10
7 10
8 10
9 10
10 10
11 0
16 0
21 0
26 0
31 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
32 0
33 0
34 0
35 0
36 0;

param d : 0 1 2 3 4 5 6 7 8 9 10 11 16 21 26 31 12 13 14 15 17 18 19 20 22 23 24 25 27 28 29 30 32 33 34 35 36 :=
0 0.0000 24.3311 33.5410 23.1948 31.0644 12.1655 20.6155 25.4951 27.7849 39.6611 30.4138 0.0000 40.0000 30.0167 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 40.0000 40.0000 40.0000 40.0000 30.0167 30.0167 30.0167 30.0167 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
1 24.3311 0.0000 35.1710 28.3196 54.2310 30.5287 4.1231 7.0711 42.9418 59.0339 6.0828 24.3311 60.0000 31.3209 11.7047 13.4536 24.3311 24.3311 24.3311 24.3311 60.0000 60.0000 60.0000 60.0000 31.3209 31.3209 31.3209 31.3209 11.7047 11.7047 11.7047 11.7047 13.4536 13.4536 13.4536 13.4536 24.3311
2 33.5410 35.1710 0.0000 54.3415 43.0116 24.7588 35.3553 41.7732 61.2944 37.1214 38.0789 33.5410 39.0512 4.0000 23.5372 43.0116 33.5410 33.5410 33.5410 33.5410 39.0512 39.0512 39.0512 39.0512 4.0000 4.0000 4.0000 4.0000 23.5372 23.5372 23.5372 23.5372 43.0116 43.0116 43.0116 43.0116 33.5410
3 23.1948 28.3196 54.3415 0.0000 49.4065 35.3553 24.7588 23.3238 17.0294 61.3270 32.4500 23.1948 61.2699 50.4480 34.4819 14.8661 23.1948 23.1948 23.1948 23.1948 61.2699 61.2699 61.2699 61.2699 50.4480 50.4480 50.4480 50.4480 34.4819 34.4819 34.4819 34.4819 14.8661 14.8661 14.8661 14.8661 23.1948
4 31.0644 54.2310 43.0116 49.4065 0.0000 24.5153 50.9902 56.4358 42.7200 16.4924 60.1664 31.0644 15.1327 41.9762 47.0744 50.0000 31.0644 31.0644 31.0644 31.0644 15.1327 15.1327 15.1327 15.1327 41.9762 41.9762 41.9762 41.9762 47.0744 47.0744 47.0744 47.0744 50.0000 50.0000 50.0000 50.0000 31.0644
5 12.1655 30.5287 24.7588 35.3553 24.5153 0.0000 27.8029 33.9706 37.9473 29.0000 36.2353 12.1655 29.7321 22.0227 22.5610 29.6816 12.1655 12.1655 12.1655 12.1655 29.7321 29.7321 29.7321 29.7321 22.0227 22.0227 22.0227 22.0227 22.5610 22.5610 22.5610 22.5610 29.6816 29.6816 29.6816 29.6816 12.1655
6 20.6155 4.1231 35.3553 24.7588 50.9902 27.8029 0.0000 6.7082 38.9487 56.6392 10.0000 20.6155 57.4891 31.4006 12.0000 10.0000 20.6155 20.6155 20.6155 20.6155 57.4891 57.4891 57.4891 57.4891 31.4006 31.4006 31.4006 31.4006 12.0000 12.0000 12.0000 12.0000 10.0000 10.0000 10.0000 10.0000 20.6155
