set F_UNIQ := 11 16 21 26;
set F_NODES[11] := 11 12 13 14 15;
set F_NODES[16] := 16 17 18 19 20;
set F_NODES[21] := 21 22 23 24 25;
set F_NODES[26] := 26 27 28 29 30;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 ; 	# customer set
set F := 11 16 21 26
12 13 14 15 
17 18 19 20 
22 23 24 25 
27 28 29 30 ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=31;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 200;   		# ECV max load
param Q := 77.75; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=155.50;		# BSV battery level

param Ct := 10;    		# travel cost
param Cr := 100;    		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=1.17 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 23
2 23
3 10
4 10
5 16
6 14
7 30
8 40
9 5
10 10
11 0
16 0
21 0
26 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
31 0;

param e :=
0 0
1 180
2 96
3 104
4 37
5 139
6 14
7 0
8 59
9 91
10 64
11 0
16 0
21 0
26 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
31 0;

param l :=
0 240
1 210
2 126
3 134
4 67
5 169
6 44
7 171
8 89
9 121
10 94
11 240
16 240
21 240
26 240
12 240
13 240
14 240
15 240
17 240
18 240
19 240
20 240
22 240
23 240
24 240
25 240
27 240
28 240
29 240
30 240
31 240;

param s :=
0 0
1 10
2 10
3 10
4 10
5 10
6 10
7 10
8 10
9 10
10 10
11 0
16 0
21 0
26 0
12 0
13 0
14 0
15 0
17 0
18 0
19 0
20 0
22 0
23 0
24 0
25 0
27 0
28 0
29 0
30 0
31 0;

param d : 0 1 2 3 4 5 6 7 8 9 10 11 16 21 26 12 13 14 15 17 18 19 20 22 23 24 25 27 28 29 30 31 :=
0 0.0000 19.6469 26.9258 38.0526 37.7359 18.0278 14.7648 58.5235 33.5261 20.0000 35.3412 0.0000 37.0540 24.0208 42.0595 0.0000 0.0000 0.0000 0.0000 37.0540 37.0540 37.0540 37.0540 24.0208 24.0208 24.0208 24.0208 42.0595 42.0595 42.0595 42.0595 0.0000
1 19.6469 0.0000 44.2832 57.4282 19.8494 21.9317 31.6228 71.5612 39.6232 24.2074 23.8537 19.6469 45.3100 43.1856 57.3149 19.6469 19.6469 19.6469 19.6469 45.3100 45.3100 45.3100 45.3100 43.1856 43.1856 43.1856 43.1856 57.3149 57.3149 57.3149 57.3149 19.6469
2 26.9258 44.2832 0.0000 17.6918 57.8705 43.0116 29.2062 65.1920 26.6271 26.9258 62.2415 26.9258 54.2033 9.0554 47.2652 26.9258 26.9258 26.9258 26.9258 54.2033 54.2033 54.2033 54.2033 9.0554 9.0554 9.0554 9.0554 47.2652 47.2652 47.2652 47.2652 26.9258
3 38.0526 57.4282 17.6918 0.0000 73.3757 49.7293 32.8938 55.9732 44.0454 43.9090 71.1969 38.0526 53.1507 14.3178 39.3573 38.0526 38.0526 38.0526 38.0526 53.1507 53.1507 53.1507 53.1507 14.3178 14.3178 14.3178 14.3178 39.3573 39.3573 39.3573 39.3573 38.0526
4 37.7359 19.8494 57.8705 73.3757 0.0000 41.3401 51.0882 91.2634 43.6807 32.0000 35.0000 37.7359 64.4127 59.1354 77.1557 37.7359 37.7359 37.7359 37.7359 64.4127 64.4127 64.4127 64.4127 59.1354 59.1354 59.1354 59.1354 77.1557 77.1557 77.1557 77.1557 37.7359
5 18.0278 21.9317 43.0116 49.7293 41.3401 0.0000 17.1172 50.0000 51.0784 36.4005 22.0000 18.0278 23.4094 37.5766 37.2022 18.0278 18.0278 18.0278 18.0278 23.4094 23.4094 23.4094 23.4094 37.5766 37.5766 37.5766 37.5766 37.2022 37.2022 37.2022 37.2022 18.0278
6 14.7648 31.6228 29.2062 32.8938 51.0882 17.1172 0.0000 43.9659 45.0999 33.7343 39.0512 14.7648 25.6320 22.0227 27.2947 14.7648 14.7648 14.7648 14.7648 25.6320 25.6320 25.6320 25.6320 22.0227 22.0227 22.0227 22.0227 27.2947 27.2947 27.2947 27.2947 14.7648
7 58.5235 71.5612 65.1920 55.9732 91.2634 50.0000 43.9659 0.0000 87.5728 77.6209 65.6049 58.5235 28.4253 56.1427 18.0000 58.5235 58.5235 58.5235 58.5235 28.4253 28.4253 28.4253 28.4253 56.1427 56.1427 56.1427 56.1427 18.0000 18.0000 18.0000 18.0000 58.5235
