set F_UNIQ := 26 30 34 38 42 46 50 54 58 62 66 70 74 78 82 86 90 94 98 102 106;
set F_NODES[26] := 26 27 28 29;
set F_NODES[30] := 30 31 32 33;
set F_NODES[34] := 34 35 36 37;
set F_NODES[38] := 38 39 40 41;
set F_NODES[42] := 42 43 44 45;
set F_NODES[46] := 46 47 48 49;
set F_NODES[50] := 50 51 52 53;
set F_NODES[54] := 54 55 56 57;
set F_NODES[58] := 58 59 60 61;
set F_NODES[62] := 62 63 64 65;
set F_NODES[66] := 66 67 68 69;
set F_NODES[70] := 70 71 72 73;
set F_NODES[74] := 74 75 76 77;
set F_NODES[78] := 78 79 80 81;
set F_NODES[82] := 82 83 84 85;
set F_NODES[86] := 86 87 88 89;
set F_NODES[90] := 90 91 92 93;
set F_NODES[94] := 94 95 96 97;
set F_NODES[98] := 98 99 100 101;
set F_NODES[102] := 102 103 104 105;
set F_NODES[106] := 106 107 108 109;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
16 17 18 19 20 21 22 23 24 25 ; 	# customer set
set F := 26 30 34 38 42 
46 50 54 58 62
66 70 74 78 82
86 90 94 98 102 106
27 28 29  
31 32 33 
35 36 37 
39 40 41 
43 44 45 
47 48 49 
51 52 53 
55 56 57 
59 60 61 
63 64 65 
67 68 69 
71 72 73 
75 76 77 
79 80 81 
83 84 85 
87 88 89 
91 92 93 
95 96 97 
99 100 101 
103 104 105 
107 108 109  ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=110;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 700;   		# ECV max load
param Q := 118.23; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W := 236.46;		# BSV battery level

param Ct := 10 ;		# travel cost
param Cr := 100 ;		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb ;  	    # battery swap cost(BSS/BSV)
param n :=25;	   		# number of customers
param g :=6.84 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 10
2 10
3 20
4 20
5 10
6 10
7 10
8 10
9 40
10 20
11 10
12 10
13 10
14 20
15 20
16 10
17 10
18 20
19 10
20 10
21 10
22 20
23 20
24 40
25 40
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param e :=
0 0
1 1643
2 0
3 0
4 0
5 0
6 0
7 876
8 0
9 2504
10 497
11 0
12 0
13 0
14 120
15 694
16 2758
17 2698
18 2802
19 2513
20 303
21 0
22 0
23 502
24 685
25 0
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param l :=
0 3390
1 1803
2 3277
3 3273
4 3267
5 3265
6 3289
7 1036
8 3270
9 2664
10 657
11 3259
12 3260
13 3259
14 280
15 854
16 2918
17 2858
18 2962
19 2673
20 463
21 3275
22 3288
23 662
24 845
25 3264
26 3390
30 3390
34 3390
38 3390
42 3390
46 3390
50 3390
54 3390
58 3390
62 3390
66 3390
70 3390
74 3390
78 3390
82 3390
86 3390
90 3390
94 3390
98 3390
102 3390
106 3390
27 3390
28 3390
29 3390
31 3390
32 3390
33 3390
35 3390
36 3390
37 3390
39 3390
40 3390
41 3390
43 3390
44 3390
45 3390
47 3390
48 3390
49 3390
51 3390
52 3390
53 3390
55 3390
56 3390
57 3390
59 3390
60 3390
61 3390
63 3390
64 3390
65 3390
67 3390
68 3390
69 3390
71 3390
72 3390
73 3390
75 3390
76 3390
77 3390
79 3390
80 3390
81 3390
83 3390
84 3390
85 3390
87 3390
88 3390
89 3390
91 3390
92 3390
93 3390
95 3390
96 3390
97 3390
99 3390
100 3390
101 3390
103 3390
104 3390
105 3390
107 3390
108 3390
109 3390
110 3390;

param s :=
0 0
1 90
2 90
3 90
4 90
5 90
6 90
7 90
8 90
9 90
10 90
11 90
12 90
13 90
14 90
15 90
16 90
17 90
18 90
19 90
20 90
21 90
22 90
23 90
24 90
25 90
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param d : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 30 34 38 42 46 50 54 58 62 66 70 74 78 82 86 90 94 98 102 106 27 28 29 31 32 33 35 36 37 39 40 41 43 44 45 47 48 49 51 52 53 55 56 57 59 60 61 63 64 65 67 68 69 71 72 73 75 76 77 79 80 81 83 84 85 87 88 89 91 92 93 95 96 97 99 100 101 103 104 105 107 108 109 110 :=
0 0.0000 30.5287 22.3607 26.9072 32.3883 34.1760 10.7703 38.0789 29.0689 24.0832 25.2982 40.0500 39.0512 40.6079 18.0278 44.2041 18.6815 19.6469 39.2938 51.4782 20.6155 25.0000 11.6619 38.0789 33.5261 35.0571 0.0000 33.0606 50.2494 32.6497 48.6004 31.0483 46.0109 34.4819 48.8365 23.4094 39.4588 33.0151 46.5725 19.1050 38.8973 19.0263 39.8121 38.0789 42.6380 38.4708 50.3587 0.0000 0.0000 0.0000 33.0606 33.0606 33.0606 50.2494 50.2494 50.2494 32.6497 32.6497 32.6497 48.6004 48.6004 48.6004 31.0483 31.0483 31.0483 46.0109 46.0109 46.0109 34.4819 34.4819 34.4819 48.8365 48.8365 48.8365 23.4094 23.4094 23.4094 39.4588 39.4588 39.4588 33.0151 33.0151 33.0151 46.5725 46.5725 46.5725 19.1050 19.1050 19.1050 38.8973 38.8973 38.8973 19.0263 19.0263 19.0263 39.8121 39.8121 39.8121 38.0789 38.0789 38.0789 42.6380 42.6380 42.6380 38.4708 38.4708 38.4708 50.3587 50.3587 50.3587 0.0000
1 30.5287 0.0000 50.9117 44.1814 21.8403 7.2111 34.0588 32.2800 48.0937 8.0000 24.0832 60.9262 14.0357 53.4509 47.5079 56.3028 39.9625 21.2132 69.0797 81.9878 12.5300 37.6431 18.8680 45.1885 26.6833 56.3649 30.5287 60.6383 76.7919 43.0116 59.6154 22.8035 39.0512 16.6433 19.7231 8.9443 16.4012 35.0143 33.8378 31.3847 54.8179 43.0116 64.6607 66.5282 73.0068 68.9638 79.1202 30.5287 30.5287 30.5287 60.6383 60.6383 60.6383 76.7919 76.7919 76.7919 43.0116 43.0116 43.0116 59.6154 59.6154 59.6154 22.8035 22.8035 22.8035 39.0512 39.0512 39.0512 16.6433 16.6433 16.6433 19.7231 19.7231 19.7231 8.9443 8.9443 8.9443 16.4012 16.4012 16.4012 35.0143 35.0143 35.0143 33.8378 33.8378 33.8378 31.3847 31.3847 31.3847 54.8179 54.8179 54.8179 43.0116 43.0116 43.0116 64.6607 64.6607 64.6607 66.5282 66.5282 66.5282 73.0068 73.0068 73.0068 68.9638 68.9638 68.9638 79.1202 79.1202 79.1202 30.5287
2 22.3607 50.9117 0.0000 40.7922 44.5982 52.8015 17.2047 45.2769 40.8044 45.6070 36.0555 23.3238 61.0328 54.1202 5.0000 57.5674 15.1327 41.7852 29.7321 35.3553 39.0512 25.0000 32.8024 55.2268 43.1741 19.2094 22.3607 31.8277 47.1699 49.2544 61.9839 53.1413 66.9104 56.8243 70.1783 42.5206 55.4707 37.0135 55.5788 25.0000 27.8029 11.0454 19.1050 15.8114 24.0416 24.0832 42.3792 22.3607 22.3607 22.3607 31.8277 31.8277 31.8277 47.1699 47.1699 47.1699 49.2544 49.2544 49.2544 61.9839 61.9839 61.9839 53.1413 53.1413 53.1413 66.9104 66.9104 66.9104 56.8243 56.8243 56.8243 70.1783 70.1783 70.1783 42.5206 42.5206 42.5206 55.4707 55.4707 55.4707 37.0135 37.0135 37.0135 55.5788 55.5788 55.5788 25.0000 25.0000 25.0000 27.8029 27.8029 27.8029 11.0454 11.0454 11.0454 19.1050 19.1050 19.1050 15.8114 15.8114 15.8114 24.0416 24.0416 24.0416 24.0832 24.0832 24.0832 42.3792 42.3792 42.3792 22.3607
3 26.9072 44.1814 40.7922 0.0000 55.9017 50.6360 37.2022 63.5138 4.1231 36.2215 50.4777 63.2456 44.1475 13.8924 35.9026 17.4929 44.4185 23.0217 36.0555 52.4786 40.8534 51.8556 31.3050 15.2971 58.3095 58.5235 26.9072 23.4307 35.3412 9.4868 21.9545 27.8568 32.2025 36.4005 55.5428 41.7612 58.6941 59.5483 70.6612 45.9674 64.4127 43.3820 59.8415 53.0094 49.3356 41.2311 41.2311 26.9072 26.9072 26.9072 23.4307 23.4307 23.4307 35.3412 35.3412 35.3412 9.4868 9.4868 9.4868 21.9545 21.9545 21.9545 27.8568 27.8568 27.8568 32.2025 32.2025 32.2025 36.4005 36.4005 36.4005 55.5428 55.5428 55.5428 41.7612 41.7612 41.7612 58.6941 58.6941 58.6941 59.5483 59.5483 59.5483 70.6612 70.6612 70.6612 45.9674 45.9674 45.9674 64.4127 64.4127 64.4127 43.3820 43.3820 43.3820 59.8415 59.8415 59.8415 53.0094 53.0094 53.0094 49.3356 49.3356 49.3356 41.2311 41.2311 41.2311 41.2311 41.2311 41.2311 26.9072
4 32.3883 21.8403 44.5982 55.9017 0.0000 17.0000 28.4429 10.4403 59.0931 25.2389 8.5440 46.0977 35.6931 67.9559 43.1741 71.2811 29.9666 36.1248 70.1783 79.5550 15.6205 22.6716 24.5967 61.7171 5.0000 42.4264 32.3883 65.3758 82.6075 58.0086 75.2130 42.4382 59.6825 38.0789 38.2099 16.4012 13.0384 14.8661 14.7648 19.6977 37.7359 34.0147 52.4976 58.1808 68.6222 67.2681 82.0061 32.3883 32.3883 32.3883 65.3758 65.3758 65.3758 82.6075 82.6075 82.6075 58.0086 58.0086 58.0086 75.2130 75.2130 75.2130 42.4382 42.4382 42.4382 59.6825 59.6825 59.6825 38.0789 38.0789 38.0789 38.2099 38.2099 38.2099 16.4012 16.4012 16.4012 13.0384 13.0384 13.0384 14.8661 14.8661 14.8661 14.7648 14.7648 14.7648 19.6977 19.6977 19.6977 37.7359 37.7359 37.7359 34.0147 34.0147 34.0147 52.4976 52.4976 52.4976 58.1808 58.1808 58.1808 68.6222 68.6222 68.6222 67.2681 67.2681 67.2681 82.0061 82.0061 82.0061 32.3883
5 34.1760 7.2111 52.8015 50.6360 17.0000 0.0000 35.6090 27.1662 54.4518 14.5602 21.5407 60.0333 19.3132 60.4070 49.9300 63.3246 40.3609 27.8927 73.3757 85.4283 13.8924 36.2353 22.8035 52.3259 22.0000 55.7584 34.1760 65.7647 82.2982 49.9800 66.7083 30.0000 46.0109 23.4307 21.3776 10.7703 9.2195 31.4006 27.2947 30.8058 52.9245 43.8406 64.8151 68.0147 75.8024 72.4983 83.9524 34.1760 34.1760 34.1760 65.7647 65.7647 65.7647 82.2982 82.2982 82.2982 49.9800 49.9800 49.9800 66.7083 66.7083 66.7083 30.0000 30.0000 30.0000 46.0109 46.0109 46.0109 23.4307 23.4307 23.4307 21.3776 21.3776 21.3776 10.7703 10.7703 10.7703 9.2195 9.2195 9.2195 31.4006 31.4006 31.4006 27.2947 27.2947 27.2947 30.8058 30.8058 30.8058 52.9245 52.9245 52.9245 43.8406 43.8406 43.8406 64.8151 64.8151 64.8151 68.0147 68.0147 68.0147 75.8024 75.8024 75.8024 72.4983 72.4983 72.4983 83.9524 83.9524 83.9524 34.1760
6 10.7703 34.0588 17.2047 37.2022 28.4429 35.6090 0.0000 31.4006 38.9487 29.5296 20.0998 30.0666 45.1774 51.0392 14.8661 54.6443 8.0623 29.0172 42.0000 51.2445 21.9317 14.8661 17.0880 48.8467 28.0000 25.0799 10.7703 38.8973 56.0446 43.3820 59.0762 40.1995 56.0803 42.0595 53.6004 25.4558 38.4838 24.6982 41.0488 10.4403 28.1603 9.4868 31.3847 32.5269 40.7185 38.8330 54.1479 10.7703 10.7703 10.7703 38.8973 38.8973 38.8973 56.0446 56.0446 56.0446 43.3820 43.3820 43.3820 59.0762 59.0762 59.0762 40.1995 40.1995 40.1995 56.0803 56.0803 56.0803 42.0595 42.0595 42.0595 53.6004 53.6004 53.6004 25.4558 25.4558 25.4558 38.4838 38.4838 38.4838 24.6982 24.6982 24.6982 41.0488 41.0488 41.0488 10.4403 10.4403 10.4403 28.1603 28.1603 28.1603 9.4868 9.4868 9.4868 31.3847 31.3847 31.3847 32.5269 32.5269 32.5269 40.7185 40.7185 40.7185 38.8330 38.8330 38.8330 54.1479 54.1479 54.1479 10.7703
7 38.0789 32.2800 45.2769 63.5138 10.4403 27.1662 31.4006 0.0000 66.3702 35.3553 13.0384 41.4005 46.0977 76.2168 45.0000 79.6492 30.1496 45.3431 73.1710 80.6226 25.0000 20.6155 32.6497 70.7107 5.8310 38.5876 38.0789 70.0928 87.3212 66.6033 83.7377 52.4786 69.8355 48.4665 48.0104 26.4197 21.3776 8.9443 10.4403 21.0950 31.8277 34.2345 49.2443 56.9210 69.0507 69.0652 85.4751 38.0789 38.0789 38.0789 70.0928 70.0928 70.0928 87.3212 87.3212 87.3212 66.6033 66.6033 66.6033 83.7377 83.7377 83.7377 52.4786 52.4786 52.4786 69.8355 69.8355 69.8355 48.4665 48.4665 48.4665 48.0104 48.0104 48.0104 26.4197 26.4197 26.4197 21.3776 21.3776 21.3776 8.9443 8.9443 8.9443 10.4403 10.4403 10.4403 21.0950 21.0950 21.0950 31.8277 31.8277 31.8277 34.2345 34.2345 34.2345 49.2443 49.2443 49.2443 56.9210 56.9210 56.9210 69.0507 69.0507 69.0507 69.0652 69.0652 69.0652 85.4751 85.4751 85.4751 38.0789
8 29.0689 48.0937 40.8044 4.1231 59.0931 54.4518 38.9487 66.3702 0.0000 40.1123 53.3385 63.6946 48.2701 13.3417 36.0555 16.7631 45.8039 27.0000 33.1210 49.6488 44.2719 53.7587 34.5398 17.4642 61.2944 59.0931 29.0689 20.2485 31.3050 12.2066 21.1896 31.9531 35.4683 40.5216 59.6657 45.3542 62.3699 62.0081 73.8241 48.1664 65.5134 44.4185 59.6657 52.0865 47.2969 38.8973 37.5366 29.0689 29.0689 29.0689 20.2485 20.2485 20.2485 31.3050 31.3050 31.3050 12.2066 12.2066 12.2066 21.1896 21.1896 21.1896 31.9531 31.9531 31.9531 35.4683 35.4683 35.4683 40.5216 40.5216 40.5216 59.6657 59.6657 59.6657 45.3542 45.3542 45.3542 62.3699 62.3699 62.3699 62.0081 62.0081 62.0081 73.8241 73.8241 73.8241 48.1664 48.1664 48.1664 65.5134 65.5134 65.5134 44.4185 44.4185 44.4185 59.6657 59.6657 59.6657 52.0865 52.0865 52.0865 47.2969 47.2969 47.2969 38.8973 38.8973 38.8973 37.5366 37.5366 37.5366 29.0689
