set F_UNIQ := 26 30 34 38 42 46 50 54 58 62 66 70 74 78 82 86 90 94 98 102 106;
set F_NODES[26] := 26 27 28 29;
set F_NODES[30] := 30 31 32 33;
set F_NODES[34] := 34 35 36 37;
set F_NODES[38] := 38 39 40 41;
set F_NODES[42] := 42 43 44 45;
set F_NODES[46] := 46 47 48 49;
set F_NODES[50] := 50 51 52 53;
set F_NODES[54] := 54 55 56 57;
set F_NODES[58] := 58 59 60 61;
set F_NODES[62] := 62 63 64 65;
set F_NODES[66] := 66 67 68 69;
set F_NODES[70] := 70 71 72 73;
set F_NODES[74] := 74 75 76 77;
set F_NODES[78] := 78 79 80 81;
set F_NODES[82] := 82 83 84 85;
set F_NODES[86] := 86 87 88 89;
set F_NODES[90] := 90 91 92 93;
set F_NODES[94] := 94 95 96 97;
set F_NODES[98] := 98 99 100 101;
set F_NODES[102] := 102 103 104 105;
set F_NODES[106] := 106 107 108 109;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
16 17 18 19 20 21 22 23 24 25 ; 	# customer set
set F := 26 30 34 38 42 
46 50 54 58 F35
66 70 74 78 F40
86 90 94 98 102 F46
27 28 29  
31 32 33 
35 36 37 
39 40 41 
43 44 45 
47 48 49 
51 52 53 
55 56 57 
59 60 61 
63 64 65 
67 68 69 
71 72 73 
75 76 77 
79 80 81 
83 84 85 
87 88 89 
91 92 93 
95 96 97 
99 100 101 
103 104 105 
107 108 109  ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=110;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 200;   		# ECV max load
param Q := 79.69; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W := 159.38;		# BSV battery level

param Ct := 10 ;		# travel cost
param Cr := 100 ;		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb ;  	    # battery swap cost(BSS/BSV)
param n :=25;	   		# number of customers
param g := 1.14 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 28
2 8
3 19
4 14
5 40
6 10
7 14
8 23
9 40
10 13
11 3
12 10
13 10
14 10
15 30
16 10
17 30
18 13
19 20
20 23
21 20
22 10
23 20
24 30
25 16
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param e :=
0 0
1 0
2 0
3 0
4 0
5 141
6 0
7 14
8 180
9 43
10 0
11 0
12 0
13 0
14 0
15 85
16 33
17 65
18 192
19 154
20 0
21 0
22 0
23 0
24 0
25 0
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param l :=
0 240
1 197
2 202
3 196
4 210
5 171
6 217
7 44
8 210
9 73
10 217
11 205
12 192
13 194
14 189
15 115
16 63
17 95
18 222
19 184
20 212
21 179
22 194
23 188
24 194
25 172
26 240
30 240
34 240
38 240
42 240
46 240
50 240
54 240
58 240
62 240
66 240
70 240
74 240
78 240
82 240
86 240
90 240
94 240
98 240
102 240
106 240
27 240
28 240
29 240
31 240
32 240
33 240
35 240
36 240
37 240
39 240
40 240
41 240
43 240
44 240
45 240
47 240
48 240
49 240
51 240
52 240
53 240
55 240
56 240
57 240
59 240
60 240
61 240
63 240
64 240
65 240
67 240
68 240
69 240
71 240
72 240
73 240
75 240
76 240
77 240
79 240
80 240
81 240
83 240
84 240
85 240
87 240
88 240
89 240
91 240
92 240
93 240
95 240
96 240
97 240
99 240
100 240
101 240
103 240
104 240
105 240
107 240
108 240
109 240
110 240;

param s :=
0 0
1 10
2 10
3 10
4 10
5 10
6 10
7 10
8 10
9 10
10 10
11 10
12 10
13 10
14 10
15 10
16 10
17 10
18 10
19 10
20 10
21 10
22 10
23 10
24 10
25 10
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param d : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 30 34 38 42 46 50 54 58 62 66 70 74 78 82 86 90 94 98 102 106 27 28 29 31 32 33 35 36 37 39 40 41 43 44 45 47 48 49 51 52 53 55 56 57 59 60 61 63 64 65 67 68 69 71 72 73 75 76 77 79 80 81 83 84 85 87 88 89 91 92 93 95 96 97 99 100 101 103 104 105 107 108 109 110 :=
0 0.0000 32.2025 27.4591 33.5410 19.2354 36.0555 12.0416 14.7648 19.6469 43.0116 12.0416 25.0000 37.2022 35.3553 40.6079 40.3113 33.5410 45.0444 7.6158 45.2769 17.1172 50.2892 35.0571 41.2311 35.3412 32.2800 0.0000 33.0606 50.2494 32.6497 48.6004 31.0483 46.0109 34.4819 48.8365 23.4094 39.4588 33.0151 46.5725 19.1050 38.8973 19.0263 39.8121 38.0789 42.6380 38.4708 50.3587 0.0000 0.0000 0.0000 33.0606 33.0606 33.0606 50.2494 50.2494 50.2494 32.6497 32.6497 32.6497 48.6004 48.6004 48.6004 31.0483 31.0483 31.0483 46.0109 46.0109 46.0109 34.4819 34.4819 34.4819 48.8365 48.8365 48.8365 23.4094 23.4094 23.4094 39.4588 39.4588 39.4588 33.0151 33.0151 33.0151 46.5725 46.5725 46.5725 19.1050 19.1050 19.1050 38.8973 38.8973 38.8973 19.0263 19.0263 19.0263 39.8121 39.8121 39.8121 38.0789 38.0789 38.0789 42.6380 42.6380 42.6380 38.4708 38.4708 38.4708 50.3587 50.3587 50.3587 0.0000
1 32.2025 0.0000 58.6941 34.2345 17.4642 56.0089 44.0454 37.2156 47.1275 75.2130 33.2866 7.2111 56.0803 26.4008 72.8011 72.4017 65.5134 25.4951 34.7131 23.6008 43.2666 67.8970 19.2354 26.4008 52.1728 57.8705 32.2025 59.0593 75.6439 64.6607 80.8022 57.0701 74.2159 56.0357 61.4003 34.1321 37.7359 10.6301 29.5296 13.9284 13.0384 19.3132 29.9666 38.6394 52.0096 53.6004 71.8401 32.2025 32.2025 32.2025 59.0593 59.0593 59.0593 75.6439 75.6439 75.6439 64.6607 64.6607 64.6607 80.8022 80.8022 80.8022 57.0701 57.0701 57.0701 74.2159 74.2159 74.2159 56.0357 56.0357 56.0357 61.4003 61.4003 61.4003 34.1321 34.1321 34.1321 37.7359 37.7359 37.7359 10.6301 10.6301 10.6301 29.5296 29.5296 29.5296 13.9284 13.9284 13.9284 13.0384 13.0384 13.0384 19.3132 19.3132 19.3132 29.9666 29.9666 29.9666 38.6394 38.6394 38.6394 52.0096 52.0096 52.0096 53.6004 53.6004 53.6004 71.8401 71.8401 71.8401 32.2025
2 27.4591 58.6941 0.0000 45.7056 42.8019 45.5412 15.6525 24.1661 28.2843 20.0998 26.9258 51.6624 47.4342 61.3514 17.1172 20.2237 17.0000 65.0000 24.0832 66.2118 18.0278 39.0512 55.9017 67.7791 31.3209 35.7771 27.4591 16.4012 28.7924 16.1245 24.7386 34.4384 39.2046 42.7200 61.6847 45.5412 62.6498 60.4649 73.1642 46.4004 62.6817 41.6173 56.0446 48.1664 43.1741 34.7851 34.2053 27.4591 27.4591 27.4591 16.4012 16.4012 16.4012 28.7924 28.7924 28.7924 16.1245 16.1245 16.1245 24.7386 24.7386 24.7386 34.4384 34.4384 34.4384 39.2046 39.2046 39.2046 42.7200 42.7200 42.7200 61.6847 61.6847 61.6847 45.5412 45.5412 45.5412 62.6498 62.6498 62.6498 60.4649 60.4649 60.4649 73.1642 73.1642 73.1642 46.4004 46.4004 46.4004 62.6817 62.6817 62.6817 41.6173 41.6173 41.6173 56.0446 56.0446 56.0446 48.1664 48.1664 48.1664 43.1741 43.1741 43.1741 34.7851 34.7851 34.7851 34.2053 34.2053 34.2053 27.4591
3 33.5410 34.2345 45.7056 0.0000 21.0950 69.4622 38.4708 23.0868 52.9245 65.7647 22.8035 31.6228 70.4911 55.9017 62.8013 65.1920 60.0000 22.6716 28.1603 25.0000 28.0713 36.2491 17.7200 58.5235 22.6716 65.5515 33.5410 36.7151 49.4975 59.0000 70.4060 64.2573 77.6660 68.0000 81.0555 53.0377 64.8999 43.4166 62.6418 33.6155 27.8927 19.4165 11.4018 5.0000 18.2483 22.4722 42.4382 33.5410 33.5410 33.5410 36.7151 36.7151 36.7151 49.4975 49.4975 49.4975 59.0000 59.0000 59.0000 70.4060 70.4060 70.4060 64.2573 64.2573 64.2573 77.6660 77.6660 77.6660 68.0000 68.0000 68.0000 81.0555 81.0555 81.0555 53.0377 53.0377 53.0377 64.8999 64.8999 64.8999 43.4166 43.4166 43.4166 62.6418 62.6418 62.6418 33.6155 33.6155 33.6155 27.8927 27.8927 27.8927 19.4165 19.4165 19.4165 11.4018 11.4018 11.4018 5.0000 5.0000 5.0000 18.2483 18.2483 18.2483 22.4722 22.4722 22.4722 42.4382 42.4382 42.4382 33.5410
4 19.2354 17.4642 42.8019 21.0950 0.0000 51.8652 29.5466 20.0000 38.0526 60.8276 16.2788 12.0416 52.5547 34.9285 58.1808 58.6941 52.2015 26.0192 18.8680 26.0768 26.2488 51.1566 16.0312 38.0789 35.2278 50.3587 19.2354 41.6773 58.1808 51.2640 66.2420 49.2544 65.0308 50.9608 61.5873 33.0151 43.8292 24.0000 42.5793 12.5300 20.1246 2.0000 22.8254 26.0768 36.8782 37.0135 54.5711 19.2354 19.2354 19.2354 41.6773 41.6773 41.6773 58.1808 58.1808 58.1808 51.2640 51.2640 51.2640 66.2420 66.2420 66.2420 49.2544 49.2544 49.2544 65.0308 65.0308 65.0308 50.9608 50.9608 50.9608 61.5873 61.5873 61.5873 33.0151 33.0151 33.0151 43.8292 43.8292 43.8292 24.0000 24.0000 24.0000 42.5793 42.5793 42.5793 12.5300 12.5300 12.5300 20.1246 20.1246 20.1246 2.0000 2.0000 2.0000 22.8254 22.8254 22.8254 26.0768 26.0768 26.0768 36.8782 36.8782 36.8782 37.0135 37.0135 37.0135 54.5711 54.5711 54.5711 19.2354
5 36.0555 56.0089 45.5412 69.4622 51.8652 0.0000 36.4005 49.5782 18.6011 45.2769 47.8017 50.2494 2.0000 38.0789 45.0444 40.3113 35.0000 77.1298 42.6380 76.4853 48.9183 81.5414 67.4463 44.7214 68.7677 11.0454 36.0555 59.9416 74.3303 35.0143 49.8197 12.0000 24.8395 3.0000 16.2788 22.0907 30.6105 49.4975 48.8774 43.4166 67.4759 52.5547 74.4648 74.0945 77.8332 72.2496 78.7147 36.0555 36.0555 36.0555 59.9416 59.9416 59.9416 74.3303 74.3303 74.3303 35.0143 35.0143 35.0143 49.8197 49.8197 49.8197 12.0000 12.0000 12.0000 24.8395 24.8395 24.8395 3.0000 3.0000 3.0000 16.2788 16.2788 16.2788 22.0907 22.0907 22.0907 30.6105 30.6105 30.6105 49.4975 49.4975 49.4975 48.8774 48.8774 48.8774 43.4166 43.4166 43.4166 67.4759 67.4759 67.4759 52.5547 52.5547 52.5547 74.4648 74.4648 74.4648 74.0945 74.0945 74.0945 77.8332 77.8332 77.8332 72.2496 72.2496 72.2496 78.7147 78.7147 78.7147 36.0555
6 12.0416 44.0454 15.6525 38.4708 29.5466 36.4005 0.0000 15.5242 17.8045 31.3847 16.0000 36.8782 38.0132 45.8803 28.8444 29.1548 22.8035 54.1295 11.1803 54.8179 12.8062 45.2769 44.3847 52.2015 32.5269 29.2062 12.0416 24.7386 41.1096 21.8403 36.8917 27.8029 39.2938 34.0588 51.4782 31.0000 48.0416 45.0000 57.5847 31.1448 49.6588 28.7924 47.0106 42.2019 42.4382 36.0694 43.3244 12.0416 12.0416 12.0416 24.7386 24.7386 24.7386 41.1096 41.1096 41.1096 21.8403 21.8403 21.8403 36.8917 36.8917 36.8917 27.8029 27.8029 27.8029 39.2938 39.2938 39.2938 34.0588 34.0588 34.0588 51.4782 51.4782 51.4782 31.0000 31.0000 31.0000 48.0416 48.0416 48.0416 45.0000 45.0000 45.0000 57.5847 57.5847 57.5847 31.1448 31.1448 31.1448 49.6588 49.6588 49.6588 28.7924 28.7924 28.7924 47.0106 47.0106 47.0106 42.2019 42.2019 42.2019 42.4382 42.4382 42.4382 36.0694 36.0694 36.0694 43.3244 43.3244 43.3244 12.0416
7 14.7648 37.2156 24.1661 23.0868 20.0000 49.5782 15.5242 0.0000 31.6228 43.6807 4.1231 30.8707 50.9313 48.0416 40.8044 42.5793 37.0540 40.8534 7.2111 42.0476 6.4031 35.9026 31.7648 53.0848 20.6155 43.9090 14.7648 21.9317 38.8973 36.0555 48.7032 42.5441 54.8179 47.6340 63.2535 38.0789 53.6004 41.7612 58.2151 27.6586 39.0512 18.4391 32.3883 26.6833 28.2843 23.7065 37.0135 14.7648 14.7648 14.7648 21.9317 21.9317 21.9317 38.8973 38.8973 38.8973 36.0555 36.0555 36.0555 48.7032 48.7032 48.7032 42.5441 42.5441 42.5441 54.8179 54.8179 54.8179 47.6340 47.6340 47.6340 63.2535 63.2535 63.2535 38.0789 38.0789 38.0789 53.6004 53.6004 53.6004 41.7612 41.7612 41.7612 58.2151 58.2151 58.2151 27.6586 27.6586 27.6586 39.0512 39.0512 39.0512 18.4391 18.4391 18.4391 32.3883 32.3883 32.3883 26.6833 26.6833 26.6833 28.2843 28.2843 28.2843 23.7065 23.7065 23.7065 37.0135 37.0135 37.0135 14.7648
8 19.6469 47.1275 28.2843 52.9245 38.0526 18.6011 17.8045 31.6228 0.0000 34.0000 30.4138 40.2616 20.2485 38.4187 32.6956 29.6816 22.8254 64.0703 25.0599 64.0000 30.4138 62.9682 54.0833 45.4533 50.2494 12.6491 19.6469 41.6293 56.7539 22.3607 39.4462 11.4018 27.2947 16.2788 34.0147 20.2485 36.4005 43.9090 50.6063 33.2415 56.4358 38.2099 59.4390 57.2713 59.6657 53.7587 60.4152 19.6469 19.6469 19.6469 41.6293 41.6293 41.6293 56.7539 56.7539 56.7539 22.3607 22.3607 22.3607 39.4462 39.4462 39.4462 11.4018 11.4018 11.4018 27.2947 27.2947 27.2947 16.2788 16.2788 16.2788 34.0147 34.0147 34.0147 20.2485 20.2485 20.2485 36.4005 36.4005 36.4005 43.9090 43.9090 43.9090 50.6063 50.6063 50.6063 33.2415 33.2415 33.2415 56.4358 56.4358 56.4358 38.2099 38.2099 38.2099 59.4390 59.4390 59.4390 57.2713 57.2713 57.2713 59.6657 59.6657 59.6657 53.7587 53.7587 53.7587 60.4152 60.4152 60.4152 19.6469
