set F_UNIQ := 26 30 34 38 42 46 50 54 58 62 66 70 74 78 82 86 90 94 98 102 106;
set F_NODES[26] := 26 27 28 29;
set F_NODES[30] := 30 31 32 33;
set F_NODES[34] := 34 35 36 37;
set F_NODES[38] := 38 39 40 41;
set F_NODES[42] := 42 43 44 45;
set F_NODES[46] := 46 47 48 49;
set F_NODES[50] := 50 51 52 53;
set F_NODES[54] := 54 55 56 57;
set F_NODES[58] := 58 59 60 61;
set F_NODES[62] := 62 63 64 65;
set F_NODES[66] := 66 67 68 69;
set F_NODES[70] := 70 71 72 73;
set F_NODES[74] := 74 75 76 77;
set F_NODES[78] := 78 79 80 81;
set F_NODES[82] := 82 83 84 85;
set F_NODES[86] := 86 87 88 89;
set F_NODES[90] := 90 91 92 93;
set F_NODES[94] := 94 95 96 97;
set F_NODES[98] := 98 99 100 101;
set F_NODES[102] := 102 103 104 105;
set F_NODES[106] := 106 107 108 109;
#definition

# set
set V := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
16 17 18 19 20 21 22 23 24 25 ; 	# customer set
set F := 26 30 34 38 42 
46 50 54 58 62
66 70 74 78 82
86 90 94 98 102 106
27 28 29  
31 32 33 
35 36 37 
39 40 41 
43 44 45 
47 48 49 
51 52 53 
55 56 57 
59 60 61 
63 64 65 
67 68 69 
71 72 73 
75 76 77 
79 80 81 
83 84 85 
87 88 89 
91 92 93 
95 96 97 
99 100 101 
103 104 105 
107 108 109  ;#recharging & battery swapping station
set D0 :=0;
set Dsig :=110;


# param
param CV := 200;        # ECV fixed cost(Topic Given)
param C := 1000;   		# ECV max load
param Q := 194.58; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W := 389.16;		# BSV battery level

param Ct := 10 ;		# travel cost
param Cr := 100 ;		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb ;  	    # battery swap cost(BSS/BSV)
param n :=25;	   		# number of customers
param g := 0.45 ;     	# the recharging rate of ECV 



# customer demend
param m :=
0 0
1 23
2 10
3 14
4 9
5 20
6 13
7 23
8 25
9 23
10 10
11 6
12 20
13 10
14 16
15 20
16 10
17 16
18 30
19 20
20 10
21 8
22 3
23 10
24 10
25 40
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param e :=
0 0
1 780
2 45
3 14
4 214
5 698
6 389
7 212
8 611
9 342
10 609
11 20
12 43
13 494
14 629
15 431
16 33
17 570
18 231
19 204
20 132
21 675
22 789
23 397
24 432
25 225
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
70 0
74 0
78 0
82 0
86 0
90 0
94 0
98 0
102 0
106 0
27 0
28 0
29 0
31 0
32 0
33 0
35 0
36 0
37 0
39 0
40 0
41 0
43 0
44 0
45 0
47 0
48 0
49 0
51 0
52 0
53 0
55 0
56 0
57 0
59 0
60 0
61 0
63 0
64 0
65 0
67 0
68 0
69 0
71 0
72 0
73 0
75 0
76 0
77 0
79 0
80 0
81 0
83 0
84 0
85 0
87 0
88 0
89 0
91 0
92 0
93 0
95 0
96 0
97 0
99 0
100 0
101 0
103 0
104 0
105 0
107 0
108 0
109 0
110 0;

param l :=
0 960
1 930
2 525
3 74
4 421
5 827
6 449
7 692
8 897
9 571
10 872
11 500
12 523
13 699
14 689
15 911
16 166
17 681
18 291
19 425
20 375
21 735
22 928
23 457
24 665
25 285
26 960
30 960
34 960
38 960
42 960
46 960
50 960
54 960
58 960
62 960
66 960
70 960
74 960
78 960
82 960
86 960
90 960
94 960
98 960
102 960
106 960
27 960
28 960
29 960
31 960
32 960
33 960
35 960
36 960
37 960
39 960
40 960
41 960
43 960
44 960
45 960
47 960
48 960
49 960
51 960
52 960
53 960
55 960
56 960
57 960
59 960
60 960
61 960
63 960
64 960
65 960
67 960
68 960
69 960
71 960
72 960
73 960
75 960
76 960
77 960
79 960
80 960
81 960
83 960
84 960
85 960
87 960
88 960
89 960
91 960
92 960
93 960
95 960
96 960
97 960
99 960
100 960
101 960
103 960
104 960
105 960
107 960
108 960
109 960
110 960;

param s :=
0 0
1 10
2 10
3 10
4 10
5 10
6 10
7 10
8 10
9 10
10 10
11 10
12 10
13 10
14 10
15 10
16 10
17 10
18 10
19 10
20 10
21 10
22 10
23 10
24 10
25 10
26 0
30 0
34 0
38 0
42 0
46 0
50 0
54 0
58 0
62 0
66 0
